loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3611,Kepler-936,Kepler-936 b,1,10.56134221,,19h34m18.66s,293.577759,+46d44m10.8s,46.736347,687.00,5482.00,0.92,0.89,,1.450,2016,0,
3612,Kepler-937,Kepler-937 b,2,67.66882700,,19h36m40.51s,294.168805,+46d42m52.6s,46.714611,1482.00,6095.00,1.15,1.22,,3.720,2016,0,
3613,Kepler-937,Kepler-937 c,2,153.34336400,,19h36m40.51s,294.168805,+46d42m52.6s,46.714611,1482.00,6095.00,1.15,1.22,,2.670,2016,0,
3614,Kepler-938,Kepler-938 b,1,52.62984170,,19h39m09.39s,294.789143,+46d59m02.4s,46.983990,861.00,5533.00,0.92,0.89,,2.220,2016,0,
3615,Kepler-939,Kepler-939 b,1,14.87829600,,19h35m27.75s,293.865613,+47d01m36.6s,47.026829,1029.00,5471.00,0.88,0.85,,1.750,2016,0,
3616,Kepler-94,Kepler-94 b,2,2.50806000,,18h44m46.74s,281.194747,+47d29m49.7s,47.497148,192.97,4781.00,0.81,0.76,10.84000,3.510,2014,0,
3617,Kepler-94,Kepler-94 c,2,820.30000000,,18h44m46.74s,281.194747,+47d29m49.7s,47.497148,192.97,4781.00,0.81,0.76,3126.00000,,2014,0,
3618,Kepler-940,Kepler-940 b,1,59.62252570,,19h36m57.91s,294.241293,+47d16m33.5s,47.275982,1317.00,5769.00,0.97,0.96,,3.340,2016,0,
3619,Kepler-941,Kepler-941 b,1,17.42395198,,19h37m18.33s,294.326356,+47d13m03.4s,47.217613,1105.00,5539.00,0.89,0.86,,3.080,2016,0,
3620,Kepler-942,Kepler-942 b,1,44.96417488,,19h39m49.23s,294.955114,+44d08m59.3s,44.149818,218.00,4861.00,0.81,0.75,,2.130,2016,0,
3621,Kepler-943,Kepler-943 b,1,49.77014380,,18h57m05.75s,284.273965,+41d32m06.1s,41.535023,1239.00,5612.00,0.93,0.91,,5.930,2016,0,
3622,Kepler-944,Kepler-944 b,1,43.31677370,,19h34m24.30s,293.601262,+42d22m47.1s,42.379761,1035.00,5409.00,0.86,0.83,,2.630,2016,0,
3623,Kepler-945,Kepler-945 b,1,31.00338140,,19h25m04.74s,291.269748,+42d05m45.8s,42.096046,1543.00,5718.00,0.97,0.97,,2.630,2016,0,
3624,Kepler-946,Kepler-946 b,1,11.79162572,,20h03m43.11s,300.929606,+44d01m43.6s,44.028790,918.00,5665.00,0.94,0.93,,1.930,2016,0,
3625,Kepler-947,Kepler-947 b,1,26.96443170,,19h37m28.01s,294.366727,+42d15m09.6s,42.252678,1188.00,5508.00,0.90,0.87,,2.280,2016,0,
